area_type,availability,location,bhk,size_comp,total_sqft,bath,balcony,price
Plot  Area,Ready To Move,sankeswari,1,Bedroom,461.82,1,1,31.7
Super built-up  Area,Ready To Move,Brookefield,2,BHK,1262,2,1,75
Super built-up  Area,Ready To Move,Yelahanka,2,BHK,915,2,2,48
Super built-up  Area,Ready To Move,Panathur,3,BHK,1370,2,2,61.5
Super built-up  Area,Ready To Move,Malleshpalya,2,BHK,1210,2,3,55
Super built-up  Area,Ready To Move,Kodihalli,3,BHK,2392,4,2,260
Plot  Area,Date Set,T c palya,3,Bedroom,1500,2,0,85
Super built-up  Area,Ready To Move,Govindraja Nagar,2,BHK,1065,2,3,50
Super built-up  Area,Ready To Move,Rajaji Nagar,4,BHK,3100,4,2,570
Super built-up  Area,Ready To Move,Ramamurthy Nagar,3,BHK,1515,3,3,65
Plot  Area,Date Set,Sarjapura - Attibele Road,4,Bedroom,1800,4,2,110
Super built-up  Area,Ready To Move,Thanisandra,3,BHK,1445,2,3,40.31
Super built-up  Area,Ready To Move,Uttarahalli,3,BHK,1300,2,1,55
Built-up  Area,Ready To Move,Vijayanagar,2,BHK,989,2,0,60
Super built-up  Area,Ready To Move,Jakkur,2,BHK,1300,2,1,85
Super built-up  Area,Date Set,Chandapura,3,BHK,1185,2,2,30.22
Plot  Area,Ready To Move,Battarahalli,5,Bedroom,1350,3,1,110
Super built-up  Area,Ready To Move,Marathahalli,2,BHK,1045,2,3,60
Super built-up  Area,Date Set,Virat Nagar,2,BHK,1205,2,2,42.18
Super built-up  Area,Ready To Move,Chennammanakere Achukattu,2,BHK,1260,2,1,75
Plot  Area,Ready To Move,Devanahalli Road,5,Bedroom,1320,5,2,199
Super built-up  Area,Ready To Move,Ulsoor,3,BHK,1500,2,2,125
Super built-up  Area,Date Set,Bommanahalli,3,BHK,1250,2,2,42.5
Built-up  Area,Date Set,"Maragondana Halli, kr puram, old madras road",2,BHK,1199,2,2,50
Super built-up  Area,Ready To Move,Hennur Road,2,BHK,1385,2,1,83.09
Plot  Area,Ready To Move,Dhanalakshmi Layout,6,Bedroom,1222,5,3,250
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,BHK,1149,2,1,75
Super built-up  Area,Ready To Move,Sarjapur  Road,3,BHK,2180,3,2,170
Plot  Area,Ready To Move,TC Palaya,8,Bedroom,1200,7,1,110
Super built-up  Area,Ready To Move,Jp nagar 8th Phase .,10,BHK,12000,12,2,525
Plot  Area,Ready To Move,Thurahalli,5,Bedroom,1200,5,0,195
Super built-up  Area,Ready To Move,Hulimavu,3,BHK,1818,3,1,135
Super built-up  Area,Ready To Move,Volagerekallahalli,2,BHK,1070,2,2,33
Super built-up  Area,Ready To Move,Rajaji Nagar,3,BHK,1640,3,2,241
Built-up  Area,Ready To Move,Nagarbhavi,3,BHK,1350,2,2,54.6
Built-up  Area,Ready To Move,Chandapura,2,BHK,630,1,1,27
Super built-up  Area,Date Set,Hoodi,2,BHK,1430,2,2,113
Super built-up  Area,Ready To Move,Nagavara,3,BHK,2430,4,3,180
Plot  Area,Ready To Move,Nobo Nagar,6,Bedroom,1500,7,3,220
Super built-up  Area,Ready To Move,Sarjapur  Road,2,BHK,1084,2,3,55
Super built-up  Area,Ready To Move,Hennur Road,3,BHK,1186,2,1,56
Built-up  Area,Ready To Move,Kengeri,2,BHK,1255,2,2,50
Super built-up  Area,Ready To Move,Haralur Road,4,BHK,3400,5,3,240
Super built-up  Area,Date Set,Hosa Road,3,BHK,1541,3,1,69.84
Super built-up  Area,Ready To Move,Iblur Village,4,BHK,3596,5,1,282
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,BHK,1295,2,2,70
Plot  Area,Ready To Move,Kasavanhalli,3,Bedroom,1000,4,3,110
Built-up  Area,Ready To Move,Sanjeevini Nagar,3,BHK,2820,3,2,285
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,BHK,1370,2,2,54.79
Super built-up  Area,Ready To Move,Electronic City,2,BHK,1100,2,1,40
Super built-up  Area,Date Set,Hebbal,4,BHK,4772,6,2,510
Super built-up  Area,Ready To Move,Rajaji Nagar,2,BHK,1370,2,1,170
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,BHK,1370,2,1,54.79
Super built-up  Area,Ready To Move,JP Nagar,2,BHK,1200,2,2,62
Plot  Area,Ready To Move,Gunjur,4,Bedroom,2000,3,0,95
Built-up  Area,Ready To Move,9th Phase JP Nagar,4,BHK,3500,4,2,300
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5,Bedroom,1200,4,3,240
Plot  Area,Ready To Move,Kengeri,4,Bedroom,2400,5,2,253
Super built-up  Area,Ready To Move,Sarjapur  Road,3,BHK,1220,3,2,62
Built-up  Area,Ready To Move,Kanakapura Road,3,Bedroom,1950,3,2,130
Super built-up  Area,Ready To Move,Somasundara Palya,2,BHK,1178,2,3,73
Super built-up  Area,Ready To Move,Dasanapura,3,BHK,1286,3,2,61.44
Super built-up  Area,Ready To Move,Begur Road,2,BHK,1160,2,2,42
Super built-up  Area,Ready To Move,Jigani,2,BHK,918,2,2,55
Super built-up  Area,Date Set,Electronic City,3,BHK,1563,3,2,91.84
Super built-up  Area,Date Set,Govindpura,2,BHK,1326,2,1,62.17
Super built-up  Area,Ready To Move,3rd Block Jayanagar,3,BHK,1350,2,2,140
Super built-up  Area,Date Set,Hebbal,4,BHK,3960,5,3,386
Super built-up  Area,Ready To Move,Begur Road,2,BHK,1240,2,2,39.06
Super built-up  Area,Ready To Move,Kaggadasapura,2,BHK,1325,2,2,50
Super built-up  Area,Ready To Move,Sonnenahalli,2,BHK,1100,2,1,44
Super built-up  Area,Ready To Move,Cunningham Road,3,BHK,3875,3,2,800
Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,3,BHK,1605,3,2,50
Super built-up  Area,Ready To Move,Hennur Road,5,BHK,5600,5,3,515
Super built-up  Area,Ready To Move,Somasundara Palya,2,BHK,1260,2,1,60
Super built-up  Area,Date Set,Hoodi,3,BHK,1553,3,2,83.09
Super built-up  Area,Ready To Move,Whitefield,2,BHK,1280,2,2,52
Super built-up  Area,Ready To Move,Hebbal,3,BHK,1550,2,2,75
Super built-up  Area,Ready To Move,Arekere,3,BHK,1445,2,2,125
Super built-up  Area,Ready To Move,Murugeshpalya,3,BHK,1550,3,2,74
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,BHK,1515,2,1,80.91
Super built-up  Area,Date Set,Hosa Road,3,BHK,1332,2,1,86.12
Super built-up  Area,Ready To Move,Electronic City,3,BHK,1652,3,2,70
Super built-up  Area,Ready To Move,Hegde Nagar,3,BHK,1570,3,1,105
Plot  Area,Ready To Move,Sarjapur  Road,4,Bedroom,5400,4,3,725
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,1,BHK,794,1,1,60
Plot  Area,Ready To Move,Seegehalli,3,Bedroom,1200,2,0,62
Built-up  Area,Ready To Move,7th Phase JP Nagar,4,Bedroom,3600,3,2,410
Plot  Area,Ready To Move,Hosakerehalli,3,Bedroom,1200,3,2,175
Super built-up  Area,Ready To Move,JP Nagar,4,BHK,1650,3,1,220
Plot  Area,Ready To Move,Chandra Layout,4,Bedroom,600,2,1,85
Super built-up  Area,Ready To Move,HRBR Layout,3,BHK,2800,3,2,250
Super built-up  Area,Ready To Move,Sarjapur  Road,3,BHK,1750,3,2,110
Built-up  Area,Ready To Move,Hebbal,2,BHK,1053,2,1,48
Super built-up  Area,Date Set,Kanakpura Road,3,BHK,1100,3,2,53
Super built-up  Area,Ready To Move,Kadubeesanahalli,3,BHK,1665,3,3,70
Plot  Area,Ready To Move,Outer Ring Road East,4,Bedroom,4051,4,3,345
Plot  Area,Ready To Move,Malleshwaram,4,Bedroom,5500,5,1,1500
Built-up  Area,Ready To Move,Bommasandra,3,BHK,1447,3,2,80
Built-up  Area,Ready To Move,Balagere,2,BHK,1012,2,1,75
Super built-up  Area,Ready To Move,Malleshpalya,3,BHK,1900,3,2,60
Super built-up  Area,Ready To Move,Narayanapura,2,BHK,1308,2,2,92.66
Super built-up  Area,Ready To Move,Green Glen Layout,4,BHK,3250,4,2,230
Super built-up  Area,Ready To Move,Hormavu,1,BHK,1351,2,1,53
Super built-up  Area,Ready To Move,Electronic City,2,BHK,1000,2,2,22
Plot  Area,Ready To Move,J P Nagar 7th Phase Ramayya City,4,Bedroom,1200,4,2,350
Super built-up  Area,Date Set,Gunjur,2,BHK,1140,2,2,49.11
Super built-up  Area,Date Set,Jakkur,4,BHK,3181,4,0,260.5
Built-up  Area,Ready To Move,Uttarahalli,3,BHK,1250,2,1,55
Super built-up  Area,Ready To Move,Kanakapura,3,BHK,1290,3,3,45.15
Super built-up  Area,Ready To Move,Ambedkar Nagar,2,BHK,1424,2,2,90
Super built-up  Area,Ready To Move,Garudachar Palya,3,BHK,1320,2,2,60.6
Built-up  Area,Ready To Move,Akshaya Nagar,3,BHK,1662,3,2,85.5
Super built-up  Area,Ready To Move,Shanthala Nagar,5,BHK,8321,5,3,2700
Super built-up  Area,Ready To Move,Begur Road,2,BHK,1200,2,2,45
Built-up  Area,Ready To Move,Koramangala,3,BHK,1975,3,2,210
Super built-up  Area,Ready To Move,Garudachar Palya,3,BHK,1295,2,2,59.5
Super built-up  Area,Ready To Move,Battarahalli,3,BHK,1777,3,2,100
Super built-up  Area,Date Set,Kadugodi,3,BHK,1900,3,2,108
Super built-up  Area,Date Set,Anandapura,3,BHK,1576,3,2,59.1
Super built-up  Area,Ready To Move,Sompura,2,BHK,1020,2,3,41
Super built-up  Area,Ready To Move,Green Domain Layout,3,BHK,2100,3,3,170
Super built-up  Area,Date Set,Raja Rajeshwari Nagar,1,BHK,648,1,1,31.75
Super built-up  Area,Ready To Move,Neeladri Nagar,3,BHK,1167,2,1,38
Plot  Area,Ready To Move,Vyalikaval,7,Bedroom,1000,7,3,160
Super built-up  Area,Ready To Move,Hoodi,2,BHK,1220,2,2,50.89
Super built-up  Area,Ready To Move,Kogilu,3,BHK,2350,5,1,327
Super built-up  Area,Ready To Move,Vittasandra,2,BHK,1259,2,1,67.4
Built-up  Area,Ready To Move,Gottigere,4,Bedroom,2000,4,2,82
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3,BHK,1800,3,1,80
Built-up  Area,Ready To Move,Cleveland Town,3,BHK,1991,3,2,160
Super built-up  Area,Ready To Move,Bannerghatta,3,BHK,1665,3,3,110
Built-up  Area,Date Set,"Hoodi Circle, ",2,BHK,1234,2,1,61
Super built-up  Area,Ready To Move,Mysore Road,3,BHK,1340,2,2,64.31
Super built-up  Area,Ready To Move,Banashankari,2,BHK,1170,2,2,46.79
Built-up  Area,Ready To Move,Electronics City Phase 1,2,BHK,995,2,0,46
Super built-up  Area,Ready To Move,Old Airport Road,2,BHK,1075,2,2,60
Super built-up  Area,Date Set,Electronic City,2,BHK,1025,2,1,54.5
Super built-up  Area,Ready To Move,Rachenahalli,3,BHK,2721,3,2,113
Super built-up  Area,Ready To Move,Thanisandra,3,BHK,2000,3,2,99
Super built-up  Area,Ready To Move,Whitefield,4,BHK,2500,4,3,155
Super built-up  Area,Ready To Move,Mallasandra,2,BHK,1325,2,2,70
Super built-up  Area,Date Set,Kadugodi,2,BHK,1314,2,3,68.2
Super built-up  Area,Date Set,Kanakpura Road,3,BHK,2265,3,2,136
Built-up  Area,Ready To Move,7th Phase JP Nagar,7,Bedroom,4800,7,0,170
Super built-up  Area,Date Set,Yelahanka,2,BHK,1026,2,1,41
Built-up  Area,Ready To Move,Syndicate Bank Colony,3,BHK,1200,3,2,66
Built-up  Area,Ready To Move,Kada Agrahara,3,BHK,2220,4,2,65
Super built-up  Area,Date Set,KR Puram,2,BHK,1192.5,2,0,51.22
Super built-up  Area,Date Set,Hebbal,2,BHK,1420,2,1,99.39
Super built-up  Area,Ready To Move,Sarjapur  Road,3,BHK,1888,4,1,95
Super built-up  Area,Date Set,JP Nagar,2,BHK,1300,2,1,90.87
Super built-up  Area,Date Set,Rajaji Nagar,2,BHK,1216,2,0,97.16
Plot  Area,Date Set,"Off Sarjapur road, ",4,Bedroom,3000,4,3,342
Built-up  Area,Ready To Move,Begur,3,BHK,1559,3,2,63
Super built-up  Area,Ready To Move,Harlur,2,BHK,1290,2,1,87
Plot  Area,Ready To Move,M C Layout,6,Bedroom,2400,6,2,245
Built-up  Area,Date Set,Whitefield,1,BHK,905,1,1,55
Built-up  Area,Ready To Move,Nanjappa Layout,2,BHK,1069,2,2,55
Super built-up  Area,Date Set,Sarjapura - Attibele Road,2,BHK,829,2,1,22.8
Built-up  Area,Ready To Move,Koramangala,2,BHK,1900,2,1,200
Built-up  Area,Ready To Move,Dodda Banaswadi,5,Bedroom,282.43,5,1,140
Built-up  Area,Ready To Move,Sarjapur  Road,3,BHK,1300,3,2,60
Super built-up  Area,Ready To Move,Channasandra,2,BHK,1115,2,1,33.45
Super built-up  Area,Ready To Move,Rajaji Nagar,3,BHK,2409,3,2,360
Super built-up  Area,Ready To Move,Ambedkar Nagar,3,BHK,2150,4,2,125
Super built-up  Area,Date Set,Marathahalli,3,BHK,1305,2,1,69
Super built-up  Area,Date Set,Kanakpura Road,2,BHK,1252,2,1,56.32
Plot  Area,Ready To Move,Hosakerehalli,5,Bedroom,2400,5,2,250
Plot  Area,Date Set,Whitefield,2,Bedroom,1200,2,1,46.13
Built-up  Area,Ready To Move,Koramangala,3,BHK,1750,3,1,130
Super built-up  Area,Ready To Move,Electronic City Phase II,2,BHK,545,1,1,35
Plot  Area,Ready To Move,BEL Layout,2,Bedroom,1375,2,1,105
Super built-up  Area,Ready To Move,Subramanyapura,2,BHK,1313,2,2,66.5
Plot  Area,Ready To Move,Attibele,4,Bedroom,3640,4,1,275
Super built-up  Area,Date Set,Akshayanagara East,3,BHK,1693,3,2,108
Super built-up  Area,Ready To Move,JCR Layout,2,BHK,1160,2,1,41.75
Plot  Area,Ready To Move,Sri Kanteshwara Nagar,3,Bedroom,1200,3,0,200
Super built-up  Area,Ready To Move,Subramanyapura,3,BHK,1255,2,2,79
Plot  Area,Ready To Move,KR Puram,4,Bedroom,1000,4,1,75
Built-up  Area,Ready To Move,Bellari Road,2,BHK,900,2,1,45
Super built-up  Area,Ready To Move,Yelahanka New Town,3,BHK,1700,3,2,90
Carpet  Area,Ready To Move,Indira Nagar,3,BHK,1875,3,1,180
Carpet  Area,Ready To Move,Uttarahalli,3,BHK,1700,3,2,88
Super built-up  Area,Ready To Move,Harlur,3,BHK,1749,3,2,115
Plot  Area,Ready To Move,Dasanapura,2,Bedroom,1500,3,1,65
Super built-up  Area,Ready To Move,Varanasi,2,BHK,1175,2,1,48
Built-up  Area,Ready To Move,Akshaya Nagar,2,BHK,1280,2,1,60
Built-up  Area,Ready To Move,Abbaiah Reddy Layout,2,BHK,1200,2,2,50
Super built-up  Area,Ready To Move,Ramagondanahalli,3,BHK,1610,2,2,115
Super built-up  Area,Ready To Move,Electronic City,2,BHK,1070,2,1,46
Plot  Area,Ready To Move,TC Palaya,2,Bedroom,1200,2,0,66
Super built-up  Area,Date Set,9th Phase JP Nagar,2,BHK,1127,2,1,50
Built-up  Area,Ready To Move,Indira Nagar,2,BHK,1210,2,1,102
Built-up  Area,Ready To Move,Jyothi Nagar,2,BHK,600,2,1,23
Super built-up  Area,Ready To Move,Thigalarapalya,4,BHK,4190,4,3,380
Super built-up  Area,Ready To Move,Tata Nagar,2,BHK,1364,2,2,70
Super built-up  Area,Ready To Move,Whitefield,4,BHK,2268,3,0,146
Super built-up  Area,Ready To Move,RK Layout 2nd Stage,3,BHK,1150,2,2,77.5
Super built-up  Area,Ready To Move,Tirumanahalli,2,BHK,1146,2,1,39.5
Built-up  Area,Ready To Move,Magadi Road,2,BHK,1345,2,2,55
Super built-up  Area,Ready To Move,Mylasandra,2,BHK,1110,2,2,41
Built-up  Area,Ready To Move,Kengeri,2,BHK,750,2,1,36
Built-up  Area,Ready To Move,Motappa Layout,2,BHK,1156,2,2,49.5
Super built-up  Area,Ready To Move,Pattandur Agrahara,2,BHK,1247,2,1,59.8
Super built-up  Area,Ready To Move,Mangammanapalya,2,BHK,1058,2,2,60
Super built-up  Area,Ready To Move,Kaggalipura,2,BHK,950,2,1,48
Super built-up  Area,Ready To Move,Vasanthapura,2,BHK,420,2,0,35
Plot  Area,Ready To Move,BTM 1st Stage,4,Bedroom,600,2,2,90
Super built-up  Area,Date Set,Vijayanagar,3,BHK,1520,2,1,103
Super built-up  Area,Ready To Move,Marathahalli,2,BHK,1215,2,2,58.86
Built-up  Area,Ready To Move,Raghuvanahalli,1,BHK,900,1,1,30
Super built-up  Area,Ready To Move,Hennur Road,3,BHK,2350,3,2,174
Super built-up  Area,Ready To Move,Thanisandra,2,BHK,1050,2,2,46
Super built-up  Area,Ready To Move, Devarabeesana Halli,3,BHK,1672,3,2,150
Plot  Area,Ready To Move,Laggere,5,Bedroom,2800,5,2,125
Super built-up  Area,Ready To Move,MCECHS  layout,3,BHK,1500,2,2,65
Super built-up  Area,Ready To Move,Geddalahalli,2,BHK,1400,2,2,65
Plot  Area,Date Set,Whitefield,4,Bedroom,55.56,4,2,378
Built-up  Area,Ready To Move,8th Phase JP Nagar,4,Bedroom,2700,4,2,130
Super built-up  Area,Date Set,Bommasandra,2,BHK,920,2,1,37.46
Plot  Area,Date Set,Sarjapur  Road,3,Bedroom,1200,3,2,70
Built-up  Area,Ready To Move,Brindavan Nagar,3,BHK,1250,3,2,139
Super built-up  Area,Date Set,Hosakerehalli,3,BHK,1817,4,2,153
Plot  Area,Ready To Move,Cooke Town,5,Bedroom,2043,6,2,375
Super built-up  Area,Ready To Move,HSR Layout,2,BHK,1140,2,2,46
Built-up  Area,Ready To Move,Yelahanka,4,Bedroom,4346,4,1,450
Super built-up  Area,Ready To Move,Haralur Road,2,BHK,1464,2,2,56
Super built-up  Area,Ready To Move,Ambedkar Colony,2,BHK,1468,3,2,130
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,BHK,1555,2,1,82
Plot  Area,Ready To Move,Munnekollal,6,Bedroom,1200,4,2,110
Built-up  Area,Ready To Move,Whitefield,2,BHK,1150,2,0,55
Super built-up  Area,Date Set,Kadubeesanahalli,2,BHK,970,2,1,35
Super built-up  Area,Date Set,Banashankari,4,BHK,2500,4,3,95
Super built-up  Area,Ready To Move,Seetharampalya,2,BHK,1166,2,1,53
Plot  Area,Ready To Move,Konanakunte,3,Bedroom,2779,3,1,317
Super built-up  Area,Ready To Move,Electronic City,3,BHK,1350,3,2,58
Built-up  Area,Ready To Move,Mariyannapalya,2,BHK,900,2,3,46
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,BHK,1300,2,2,52
Built-up  Area,Ready To Move,Kanaka Nagar,3,BHK,1190,3,1,55
Super built-up  Area,Ready To Move,Kodichikkanahalli,3,BHK,1495,2,2,75
Built-up  Area,Ready To Move,Indira Nagar,2,BHK,1224,2,2,105
Super built-up  Area,Ready To Move,Banashankari Stage III,3,BHK,1350,2,2,68
Built-up  Area,Ready To Move,Green Glen Layout,2,BHK,940,2,1,56.8
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,BHK,1100,2,1,55
Super built-up  Area,Ready To Move,Kaikondrahalli,2,BHK,1300,2,2,61
Built-up  Area,Ready To Move,Palace Road,3,BHK,1480,2,0,145
Super built-up  Area,Ready To Move,Hoodi,2,BHK,1105,2,2,46.37
Plot  Area,Date Set,Sarjapur  Road,3,Bedroom,2600,3,2,200
Super built-up  Area,Date Set,Yelahanka,3,BHK,1517,3,2,76.3
Built-up  Area,Ready To Move,Horamavu Banaswadi,6,Bedroom,3800,8,0,200
Super built-up  Area,Ready To Move,Jalahalli,3,BHK,1615,3,2,89.75
Super built-up  Area,Ready To Move,MCECHS  layout,3,BHK,1500,3,2,65
Super built-up  Area,Ready To Move,Mysore Road,3,BHK,1082,3,1,50.5
Super built-up  Area,Ready To Move,Marathahalli,2,BHK,1365,2,2,73
Super built-up  Area,Ready To Move,Electronic City,2,BHK,1000,2,3,25
Super built-up  Area,Ready To Move,CV Raman Nagar,2,BHK,1392,2,1,98
Super built-up  Area,Date Set,Kodigehalli,2,BHK,1086,2,1,33.66
Super built-up  Area,Ready To Move,Hennur Road,3,BHK,1586,3,3,93.94
Built-up  Area,Ready To Move,Hennur,2,BHK,1100,2,1,60
Super built-up  Area,Date Set,Electronic City Phase II,2,BHK,1065,2,1,30.75
Plot  Area,Ready To Move,TC Palaya,3,Bedroom,1500,2,1,120
Built-up  Area,Ready To Move,7th Phase JP Nagar,3,BHK,1575,2,2,120
Super built-up  Area,Ready To Move,Hennur Road,3,BHK,1975,3,3,123
Super built-up  Area,Ready To Move,Nelamangala,2,BHK,820,2,2,24
Super built-up  Area,Ready To Move,Gubbalala,3,BHK,1745,3,2,110
Super built-up  Area,Ready To Move,Nagarbhavi,2,BHK,1223,2,1,60
Super built-up  Area,Ready To Move,Ananth Nagar,3,BHK,1200,2,1,65
Super built-up  Area,Ready To Move,Basaveshwara Nagar,2,BHK,1200,2,0,90
Super built-up  Area,Date Set,Binny Pete,1,BHK,665,1,1,46.08
Super built-up  Area,Ready To Move,Bharathi Nagar,2,BHK,1351,2,2,70
Super built-up  Area,Date Set,Hebbal,3,BHK,1355,3,1,83.87
Built-up  Area,Ready To Move,Sector 7 HSR Layout,3,BHK,3900,3,2,300
Super built-up  Area,Date Set,Thanisandra,3,BHK,1588,3,1,75.55
Carpet  Area,Ready To Move,Amruthahalli,2,BHK,900,2,1,60
Plot  Area,Ready To Move,Bhuvaneshwari Nagar,3,Bedroom,440,3,0,50
Built-up  Area,Date Set,Harlur,4,Bedroom,3385,4,2,260
Super built-up  Area,Ready To Move,Panathur,3,BHK,1370,2,2,75
Plot  Area,Date Set,Whitefield,3,Bedroom,1500,3,1,71.8
Super built-up  Area,Ready To Move,Pulikeshi Nagar,3,BHK,2280,3,2,285
Super built-up  Area,Date Set,Kanakpura Road,3,BHK,1100,3,2,53
Built-up  Area,Ready To Move,Hoodi,2,BHK,1247,2,0,53
Super built-up  Area,Date Set,Domlur Layout,3,BHK,2000,3,2,200
Super built-up  Area,Date Set,Balagere,2,BHK,1020.07,2,1,68.38
Super built-up  Area,Date Set,Gunjur Palya,3,BHK,1033,2,2,32
Built-up  Area,Ready To Move,B Narayanapura,3,BHK,1460,2,3,73
Super built-up  Area,Ready To Move,Garudachar Palya,2,BHK,1150,2,2,52.8
Super built-up  Area,Ready To Move,Sarjapur  Road,5,BHK,5965,5,2,385
Super built-up  Area,Ready To Move,Babusapalaya,2,BHK,1141,2,1,46
Super built-up  Area,Ready To Move,Yelahanka,4,BHK,2912.5,6,0,125.5
Plot  Area,Ready To Move,Doddaballapur,4,Bedroom,4200,4,3,325
Super built-up  Area,Date Set,Hosa Road,3,BHK,1665,2,3,125
Super built-up  Area,Date Set,Kanakapura,2,BHK,1295,2,2,64
Super built-up  Area,Date Set,Haralur Road,2,BHK,1230,2,1,78
Super built-up  Area,Ready To Move,Anand Nagar,3,BHK,1080,2,2,75
Super built-up  Area,Ready To Move,Kaggalipura,2,BHK,1000,2,1,60
Super built-up  Area,Ready To Move,Kaval Byrasandra,3,BHK,2400,2,0,50
Super built-up  Area,Date Set,Whitefield,1,BHK,630.5,1,0,32.79
Super built-up  Area,Date Set,Rayasandra,3,BHK,1708,3,2,75
Super built-up  Area,Ready To Move,Thanisandra,3,BHK,1697,3,2,115
Super built-up  Area,Ready To Move,Whitefield,4,BHK,3537,5,3,210
Super built-up  Area,Date Set,Hosa Road,1,BHK,615,1,1,28.29
Built-up  Area,Ready To Move,Banashankari,3,BHK,1350,2,0,83
Super built-up  Area,Ready To Move,Kanakpura Road,3,BHK,1530,2,2,66.4
Super built-up  Area,Date Set,Jalahalli,2,BHK,1083,2,1,32.49
Super built-up  Area,Ready To Move,Gottigere,3,BHK,1460,2,2,65
Super built-up  Area,Ready To Move,Babusapalaya,2,BHK,1084,2,1,58
Super built-up  Area,Date Set,Bommasandra,2,BHK,1035,2,1,41.43
Super built-up  Area,Ready To Move,Vijaya Bank Layout,3,BHK,2400,2,1,150
Super built-up  Area,Ready To Move,Hosur Road,1,BHK,460,1,1,21
Super built-up  Area,Ready To Move,Narayanappa Layout,5,BHK,950,5,2,90
Super built-up  Area,Ready To Move,Whitefield,2,BHK,1285,2,2,55.9
Super built-up  Area,Ready To Move,1Hanuman Nagar,19,BHK,2000,16,2,490
Plot  Area,Ready To Move,Sarjapur,3,Bedroom,1200,3,2,78
Built-up  Area,Ready To Move,Raghuvanahalli,2,BHK,1070,2,1,35
Super built-up  Area,Ready To Move,Hegde Nagar,3,BHK,1801,3,2,140
Super built-up  Area,Date Set,Whitefield,3,BHK,1697,3,2,115
Super built-up  Area,Ready To Move,AECS Layout,2,BHK,1199,2,2,65
Super built-up  Area,Ready To Move,Iblur Village,3,BHK,2300,3,1,220
Super built-up  Area,Ready To Move,Mysore Road,3,BHK,1340,2,3,64.31
Super built-up  Area,Ready To Move,Marathahalli,4,BHK,3800,4,3,205
Plot  Area,Ready To Move,Jigani,5,Bedroom,600,5,2,50
Super built-up  Area,Ready To Move,Wilson Garden,2,BHK,1125,2,1,75
Plot  Area,Ready To Move,Anandapura,2,Bedroom,1200,2,1,67
Built-up  Area,Ready To Move,Subramanyapura,2,BHK,1050,2,3,41
Built-up  Area,Ready To Move,Nagarbhavi,2,BHK,956,2,1,49
Super built-up  Area,Ready To Move,Sarjapur,2,BHK,1000,2,2,30
Built-up  Area,Ready To Move,Dooravani Nagar,3,BHK,1596,3,0,95
Plot  Area,Ready To Move,Kumbhena Agrahara,6,Bedroom,1200,5,1,150
Super built-up  Area,Date Set,Kanakpura Road,2,BHK,1296,2,3,89.06
Plot  Area,Ready To Move,NS Palya,6,Bedroom,1200,7,2,170
Built-up  Area,Ready To Move,Challaghatta,3,BHK,1639,3,3,123
Super built-up  Area,Ready To Move,Electronic City Phase II,2,BHK,1219,2,1,61.25
Built-up  Area,Ready To Move,Uttarahalli,3,BHK,1200,3,1,50
Super built-up  Area,Ready To Move,Bannerghatta Road,2,BHK,1218,2,1,73
Super built-up  Area,Ready To Move,Nyanappana Halli,2,BHK,920,2,3,37
Super built-up  Area,Ready To Move,Yeshwanthpur,3,BHK,2559,3,2,141
Super built-up  Area,Date Set,2nd Phase Judicial Layout,1,BHK,525,1,1,26
Super built-up  Area,Date Set,Bannerghatta Road,3,BHK,1427,2,2,48.51
Super built-up  Area,Date Set,Kothannur,3,BHK,1270,3,2,45
Built-up  Area,Ready To Move,Ramagondanahalli,2,BHK,920,2,3,65
Built-up  Area,Ready To Move,Dommasandra,4,Bedroom,2700,3,2,68
Super built-up  Area,Ready To Move,Indira Nagar 3rd Stage,3,BHK,1740,3,2,199
Built-up  Area,Ready To Move,Ramamurthy Nagar,3,BHK,1355,2,2,40
Super built-up  Area,Ready To Move,Lingadheeranahalli,3,BHK,1530,2,2,90
Carpet  Area,Ready To Move,Gokula Extension,3,BHK,1372,2,1,90
Super built-up  Area,Ready To Move,Nehru Nagar,4,BHK,2363,5,2,120
Super built-up  Area,Ready To Move,Marathahalli,4,BHK,3895,4,3,220
Super built-up  Area,Date Set,Jakkur,3,BHK,1950,3,2,131
Built-up  Area,Ready To Move,Hoysalanagar,2,BHK,885,2,3,40
Built-up  Area,Ready To Move,Yelahanka,2,BHK,600,2,2,27
Plot  Area,Ready To Move,Kumaraswami Layout,5,Bedroom,1270,4,1,128
Plot  Area,Ready To Move,Vijayanagar,2,Bedroom,1380,2,0,225
Super built-up  Area,Ready To Move,Kanakpura Road,2,BHK,1339,2,2,62
Super built-up  Area,Ready To Move,Whitefield,2,BHK,1130,2,1,36
Built-up  Area,Ready To Move,Uttarahalli,2,BHK,1085,2,2,43
