,location,bhk,total_sqft,bath,balcony,price,Actual Price
2307,Electronic City Phase II,2,1244.0,2,1,55.0,550000.0
2308,Electronic City Phase II,2,1160.0,2,1,33.51,335100.0
2311,Electronic City Phase II,2,972.0,2,1,40.0,400000.0
2312,Electronic City Phase II,2,1160.0,2,1,33.51,335100.0
2314,Electronic City Phase II,2,1090.0,2,1,31.48,314800.0
2315,Electronic City Phase II,2,1140.0,2,1,32.92,329200.0
2316,Electronic City Phase II,1,650.0,1,1,35.0,350000.0
2317,Electronic City Phase II,2,1155.0,2,1,57.0,570000.0
2318,Electronic City Phase II,3,1800.0,3,3,92.0,920000.0
2319,Electronic City Phase II,2,1300.0,2,2,28.0,280000.0
2320,Electronic City Phase II,2,1160.0,2,1,33.5,335000.0
2321,Electronic City Phase II,2,1025.0,2,1,29.6,296000.0
2322,Electronic City Phase II,2,829.0,2,1,22.8,228000.0
2323,Electronic City Phase II,4,2187.5,4,0,105.0,1050000.0
2324,Electronic City Phase II,2,1252.0,2,1,67.0,670000.0
2326,Electronic City Phase II,2,1125.0,2,1,32.63,326300.0
2327,Electronic City Phase II,2,1140.0,2,1,34.0,340000.0
2330,Electronic City Phase II,3,1252.0,2,1,65.0,650000.0
2331,Electronic City Phase II,2,1135.0,2,2,46.0,460000.0
2332,Electronic City Phase II,3,1305.0,3,1,65.0,650000.0
2333,Electronic City Phase II,2,1165.0,2,1,33.64,336400.0
2335,Electronic City Phase II,3,1336.0,2,3,50.35,503500.0
2336,Electronic City Phase II,1,575.0,1,1,16.75,167500.0
2337,Electronic City Phase II,3,925.0,2,1,49.82,498200.0
2338,Electronic City Phase II,2,1065.0,2,1,30.76,307600.0
2339,Electronic City Phase II,2,1065.0,2,1,30.75,307500.0
2340,Electronic City Phase II,2,1140.0,2,1,33.06,330600.0
2341,Electronic City Phase II,2,911.0,2,1,26.5,265000.0
2342,Electronic City Phase II,2,1200.0,2,1,34.65,346500.0
2343,Electronic City Phase II,2,1031.0,2,1,54.48,544800.0
2347,Electronics City Phase 1,3,1475.0,3,2,78.29,782900.0000000001
2348,Electronics City Phase 1,3,1490.0,3,1,78.8,788000.0
2349,Electronics City Phase 1,2,1113.27,2,2,53.0,530000.0
2350,Electronics City Phase 1,3,1490.0,3,1,84.0,840000.0
2357,Electronics City Phase 1,2,1015.0,2,1,56.0,560000.0
2359,Electronics City Phase 1,3,1515.0,2,1,80.91,809100.0
2360,Electronics City Phase 1,2,995.0,2,0,46.0,460000.0
2361,Electronics City Phase 1,3,1555.0,2,1,82.0,820000.0
2362,Electronics City Phase 1,2,1340.0,2,2,75.0,750000.0
2363,Electronics City Phase 1,3,1124.0,2,2,55.0,550000.0
2364,Electronics City Phase 1,2,1175.0,2,1,57.0,570000.0
2365,Electronics City Phase 1,1,755.0,1,1,42.41,424099.99999999994
2366,Electronics City Phase 1,1,580.0,1,1,27.0,270000.0
2367,Electronics City Phase 1,2,940.0,2,2,49.0,490000.0
2368,Electronics City Phase 1,2,1335.0,2,2,67.0,670000.0
2369,Electronics City Phase 1,2,1113.12,2,2,55.0,550000.0
2371,Electronics City Phase 1,3,1350.0,3,0,71.0,710000.0
2373,Electronics City Phase 1,2,995.0,2,1,49.8,498000.0
2374,Electronics City Phase 1,1,635.0,1,0,26.0,260000.0
2375,Electronics City Phase 1,2,1190.0,2,1,68.0,680000.0
2377,Electronics City Phase 1,3,1450.0,3,2,72.54,725400.0000000001
2378,Electronics City Phase 1,1,360.0,1,0,16.9,169000.0
2379,Electronics City Phase 1,1,638.0,1,1,32.0,320000.0
2380,Electronics City Phase 1,2,1175.0,2,2,64.98,649800.0
2381,Electronics City Phase 1,1,585.0,1,1,21.0,210000.0
2382,Electronics City Phase 1,2,1200.0,2,2,59.76,597600.0
2383,Electronics City Phase 1,2,1145.0,2,1,54.0,540000.0
2384,Electronics City Phase 1,2,1125.0,2,2,65.0,650000.0
2386,Electronics City Phase 1,3,1550.0,2,2,82.0,820000.0
2388,Electronics City Phase 1,2,865.0,2,0,40.0,400000.0
2392,Electronics City Phase 1,3,1800.0,3,2,93.0,930000.0
2393,Electronics City Phase 1,2,1314.0,2,2,60.0,600000.0
2394,Electronics City Phase 1,2,1170.0,2,1,62.0,620000.0
2395,Electronics City Phase 1,3,1450.0,3,2,79.0,790000.0
2396,Electronics City Phase 1,2,940.0,2,1,48.0,480000.0
2397,Electronics City Phase 1,2,940.0,2,1,44.0,440000.0
2398,Electronics City Phase 1,2,1300.0,2,1,67.0,670000.0
2399,Electronics City Phase 1,2,1028.0,2,1,51.0,510000.0
2401,Electronics City Phase 1,2,1205.0,2,2,60.0,600000.0
2403,Electronics City Phase 1,2,1305.0,2,1,67.0,670000.0
2404,Electronics City Phase 1,1,755.0,1,0,30.12,301200.0
2405,Electronics City Phase 1,2,1175.0,2,1,60.0,600000.0
2406,Frazer Town,3,1700.0,3,1,180.0,1800000.0
2407,Frazer Town,3,1305.0,3,2,95.45,954500.0
2408,Frazer Town,3,1870.0,3,3,185.0,1850000.0
2409,Frazer Town,3,1750.0,3,2,150.0,1500000.0
2411,Frazer Town,3,2000.0,3,1,200.0,2000000.0
2412,Frazer Town,3,3500.0,4,2,330.0,3300000.0
2413,Frazer Town,3,2350.0,4,3,285.0,2850000.0
2414,Frazer Town,2,1550.0,2,2,140.0,1400000.0
2415,Frazer Town,3,1900.0,4,2,145.0,1450000.0
2416,Frazer Town,3,2560.0,3,2,265.0,2650000.0
2417,Frazer Town,3,2400.0,3,2,260.0,2600000.0
2418,Frazer Town,3,2560.0,3,2,288.0,2880000.0
2419,Frazer Town,4,3436.0,5,2,341.0,3410000.0
2421,Frazer Town,2,1315.0,2,2,140.0,1400000.0
2422,Frazer Town,3,1706.0,3,3,154.0,1540000.0
2423,Frazer Town,3,2079.0,3,3,220.0,2200000.0
2424,Frazer Town,4,3435.0,2,1,341.0,3410000.0
2425,Frazer Town,4,3436.0,5,2,345.0,3450000.0
2426,Frazer Town,3,3100.0,3,2,400.0,4000000.0
2427,Frazer Town,3,5400.0,3,2,400.0,4000000.0
2428,Frazer Town,2,1180.0,2,1,105.0,1050000.0
2429,Frazer Town,4,2900.0,4,2,325.0,3250000.0
2430,Frazer Town,3,1870.0,3,3,180.0,1800000.0
2431,Frazer Town,1,896.0,1,0,100.0,1000000.0
2432,Frazer Town,2,1420.0,2,0,120.0,1200000.0
2433,GM Palaya,3,1820.0,2,3,86.0,860000.0
2434,GM Palaya,2,1225.0,2,2,47.0,470000.0
2435,GM Palaya,2,1140.0,2,2,48.95,489500.0
2436,GM Palaya,3,1315.0,2,2,65.0,650000.0
2437,GM Palaya,3,1315.0,3,1,65.0,650000.0
2438,GM Palaya,3,1315.0,3,0,64.0,640000.0
2439,GM Palaya,3,1735.0,3,2,70.0,700000.0
2440,GM Palaya,3,1643.0,2,2,70.0,700000.0
2441,Ganga Nagar,1,600.0,1,0,38.0,380000.0
2442,Ganga Nagar,2,845.0,2,1,55.0,550000.0
2443,Ganga Nagar,2,1112.0,2,3,68.0,680000.0
2444,Ganga Nagar,2,998.0,2,2,65.0,650000.0
2445,Ganga Nagar,2,1250.0,2,2,65.0,650000.0
2446,Garudachar Palya,3,1325.0,2,2,60.8,608000.0
2447,Garudachar Palya,2,1060.0,2,1,48.7,487000.0
2448,Garudachar Palya,2,1150.0,2,1,52.75,527500.0
2449,Garudachar Palya,3,1295.0,2,1,59.5,595000.0
2450,Garudachar Palya,3,1320.0,2,2,60.6,606000.0
2451,Garudachar Palya,3,1295.0,2,2,59.5,595000.0
2452,Garudachar Palya,2,1150.0,2,2,52.8,528000.0
2453,Garudachar Palya,2,1150.0,2,1,52.8,528000.0
2454,Garudachar Palya,2,1060.0,2,1,48.5,485000.0
2455,Garudachar Palya,2,1150.0,2,1,52.5,525000.0
2456,Garudachar Palya,3,1325.0,2,2,60.8,608000.0
2457,Garudachar Palya,2,1060.0,2,1,48.66,486599.99999999994
2458,Garudachar Palya,2,1150.0,2,2,52.0,520000.0
2459,Garudachar Palya,2,1154.0,2,1,51.8,518000.0
2461,Giri Nagar,4,2400.0,4,1,400.0,4000000.0
2462,Giri Nagar,3,1800.0,3,2,252.0,2520000.0
2463,Giri Nagar,3,1350.0,3,0,240.0,2400000.0
2464,Giri Nagar,4,2400.0,4,2,400.0,4000000.0
2465,Giri Nagar,6,3000.0,4,1,375.0,3750000.0
2466,Giri Nagar,6,2400.0,6,1,400.0,4000000.0
2467,Giri Nagar,4,4000.0,3,2,750.0,7500000.0
2468,Gollarapalya Hosahalli,2,861.0,2,1,34.5,345000.0
2469,Gollarapalya Hosahalli,3,1408.0,3,3,62.0,620000.0
2470,Gollarapalya Hosahalli,2,861.0,2,1,34.5,345000.0
2471,Gollarapalya Hosahalli,3,1318.0,3,1,54.0,540000.0
2472,Gollarapalya Hosahalli,2,861.0,2,0,36.5,365000.0
2473,Gollarapalya Hosahalli,3,1320.0,3,2,60.0,600000.0
2474,Gollarapalya Hosahalli,3,1345.0,3,2,60.0,600000.0
2475,Gollarapalya Hosahalli,4,1905.0,3,2,86.0,860000.0
2476,Gollarapalya Hosahalli,3,1318.0,3,2,56.0,560000.0
2477,Gollarapalya Hosahalli,2,1129.0,2,1,50.0,500000.0
2478,Gottigere,2,1100.0,2,2,40.0,400000.0
2479,Gottigere,2,967.0,2,3,45.0,450000.0
2480,Gottigere,3,1618.0,3,3,82.5,825000.0
2481,Gottigere,2,1222.0,2,1,63.0,630000.0
2483,Gottigere,3,1300.0,3,3,65.0,650000.0
2484,Gottigere,2,950.0,2,1,38.0,380000.0
2485,Gottigere,2,1153.0,2,1,48.5,485000.0
2486,Gottigere,1,812.0,1,0,26.0,260000.0
2488,Gottigere,3,1460.0,2,2,65.0,650000.0
2489,Gottigere,3,1500.0,3,2,70.0,700000.0
2490,Gottigere,3,1621.0,3,3,72.0,720000.0
2491,Gottigere,1,812.0,1,1,26.0,260000.0
2492,Gottigere,2,990.0,2,1,40.0,400000.0
2493,Gottigere,2,1235.0,2,2,63.0,630000.0
2494,Gottigere,3,1385.0,3,2,64.0,640000.0
2495,Gottigere,2,1000.0,2,1,35.0,350000.0
2496,Gottigere,2,1010.0,2,1,35.0,350000.0
2499,Gottigere,3,1435.0,2,3,62.0,620000.0
2500,Gottigere,2,945.0,2,0,45.0,450000.0
2502,Gottigere,4,2500.0,3,2,120.0,1200000.0
2503,Gottigere,3,1230.0,2,2,52.0,520000.0
2504,Gottigere,2,1120.0,2,2,50.0,500000.0
2505,Gottigere,3,1500.0,3,2,63.0,630000.0
2506,Gottigere,2,1200.0,2,3,40.0,400000.0
2507,Gottigere,2,1280.0,2,1,61.0,610000.0
2508,Gottigere,2,1205.0,2,1,56.58,565800.0
2509,Gottigere,2,1170.0,2,2,40.0,400000.0
2510,Gottigere,4,3000.0,3,0,132.0,1320000.0
2511,Gottigere,3,1613.0,3,3,72.0,720000.0
2512,Gottigere,2,1110.0,2,2,36.25,362500.0
2513,Gottigere,2,1245.0,2,2,59.0,590000.0
2514,Gottigere,2,1200.0,2,2,50.0,500000.0
2515,Green Glen Layout,3,1670.0,3,2,120.0,1200000.0
2516,Green Glen Layout,4,3250.0,4,3,230.0,2300000.0
2517,Green Glen Layout,3,1776.42,3,2,105.0,1050000.0
2518,Green Glen Layout,4,3250.0,4,2,230.0,2300000.0
2519,Green Glen Layout,2,940.0,2,1,56.8,568000.0
2520,Green Glen Layout,2,1075.0,2,1,60.0,600000.0
2521,Green Glen Layout,3,1715.0,3,2,115.0,1150000.0
2522,Green Glen Layout,3,1751.0,2,1,115.0,1150000.0
2523,Green Glen Layout,3,1750.0,3,2,130.0,1300000.0
2524,Green Glen Layout,3,1530.0,3,2,105.0,1050000.0
2525,Green Glen Layout,3,1752.0,3,2,105.0,1050000.0
2526,Green Glen Layout,3,1680.0,4,3,95.0,950000.0
2527,Green Glen Layout,3,1728.0,3,2,125.0,1250000.0
2528,Green Glen Layout,3,1645.0,3,2,110.0,1100000.0
2529,Green Glen Layout,3,1517.0,3,3,100.0,1000000.0
2530,Green Glen Layout,4,3150.0,4,3,218.0,2180000.0
2532,Green Glen Layout,3,1750.0,3,2,120.0,1200000.0
2533,Green Glen Layout,3,1751.0,3,2,115.0,1150000.0
2534,Green Glen Layout,3,1750.0,3,2,105.0,1050000.0
2535,Green Glen Layout,3,1885.0,3,2,135.0,1350000.0
2536,Green Glen Layout,3,1715.0,3,3,120.0,1200000.0
2537,Green Glen Layout,3,1623.29,2,2,105.0,1050000.0
2538,Green Glen Layout,3,1715.0,3,3,115.0,1150000.0
2539,Green Glen Layout,3,1715.0,3,2,105.0,1050000.0
2540,Green Glen Layout,3,1600.0,3,3,105.0,1050000.0
2541,Green Glen Layout,3,1717.0,3,3,125.0,1250000.0
2542,Green Glen Layout,2,1250.0,2,0,75.0,750000.0
2543,Green Glen Layout,3,1715.0,3,3,112.0,1120000.0
2544,Gubbalala,3,1470.0,2,2,82.0,820000.0
2545,Gubbalala,3,1745.0,3,2,104.0,1040000.0
2546,Gubbalala,3,1745.0,3,2,115.0,1150000.0
2547,Gubbalala,3,1745.0,3,2,110.0,1100000.0
2548,Gubbalala,3,1650.0,3,2,71.0,710000.0
2549,Gubbalala,5,2570.0,4,2,141.0,1410000.0
2550,Gubbalala,2,1205.0,2,2,70.0,700000.0
2551,Gubbalala,3,1435.0,2,2,80.0,800000.0
2552,Gubbalala,2,1475.0,2,2,80.0,800000.0
2554,Gubbalala,2,1100.0,2,2,49.5,495000.0
2555,Gubbalala,2,1060.0,2,1,46.0,460000.0
2556,Gubbalala,3,2000.0,3,3,125.0,1250000.0
2558,Gunjur,2,1140.0,2,3,43.0,430000.0
2559,Gunjur,3,1356.0,2,3,66.0,660000.0
2560,Gunjur,3,1600.0,3,3,75.0,750000.0
2561,Gunjur,4,2000.0,3,0,95.0,950000.0
2562,Gunjur,2,1140.0,2,2,49.11,491100.0
2563,Gunjur,2,1195.0,2,2,44.0,440000.0
2564,Gunjur,2,1190.0,2,2,40.0,400000.0
2565,Gunjur,2,1457.0,2,3,60.0,600000.0
2566,Gunjur,2,1080.0,2,2,41.0,410000.0
2569,Gunjur,2,1175.0,2,2,43.48,434799.99999999994
2570,Gunjur,3,1362.0,3,2,62.63,626300.0
2571,Gunjur,2,1071.0,2,1,51.0,510000.0
2572,Gunjur,2,1063.0,2,2,40.0,400000.0
2573,Gunjur,2,1235.0,2,2,52.76,527600.0
2574,Gunjur,3,1362.0,3,1,62.63,626300.0
2575,Gunjur,3,1362.0,3,1,62.63,626300.0
2576,Gunjur,3,1588.0,2,3,90.0,900000.0
2577,Gunjur,2,1235.0,2,2,44.5,445000.0
2578,Gunjur,2,1457.0,2,3,60.0,600000.0
2579,Gunjur Palya,2,1050.0,2,1,43.0,430000.0
2580,Gunjur Palya,3,1033.0,2,2,32.0,320000.0
2581,Gunjur Palya,3,1400.0,3,2,45.0,450000.0
2582,Gunjur Palya,2,993.0,2,2,42.0,420000.0
2583,Gunjur Palya,2,1235.0,2,2,52.76,527600.0
2584,HAL 2nd Stage,3,1490.0,2,2,300.0,3000000.0
2585,HAL 2nd Stage,2,600.0,3,2,145.0,1450000.0
2586,HAL 2nd Stage,3,2700.0,3,0,500.0,5000000.0
2587,HAL 2nd Stage,5,2040.0,4,1,500.0,5000000.0
2588,HBR Layout,3,2800.0,2,0,200.0,2000000.0
2589,HBR Layout,3,1722.0,3,2,95.0,950000.0
2590,HBR Layout,4,1200.0,4,0,120.0,1200000.0
2591,HBR Layout,2,1200.0,2,2,60.0,600000.0
2592,HBR Layout,2,1004.0,2,1,49.0,490000.0
2593,HBR Layout,3,1783.0,3,2,125.0,1250000.0
2594,HBR Layout,3,1656.0,3,2,90.0,900000.0
2595,HBR Layout,2,1089.0,2,1,60.0,600000.0
2596,HBR Layout,3,1700.0,3,1,110.0,1100000.0
2597,HBR Layout,2,1198.0,2,1,65.0,650000.0
2598,HBR Layout,4,1200.0,4,2,115.0,1150000.0
2599,HBR Layout,2,1200.0,2,0,120.0,1200000.0
2600,HBR Layout,3,1832.0,3,2,160.0,1600000.0
2601,HRBR Layout,2,1374.0,2,2,95.0,950000.0
2602,HRBR Layout,2,1440.0,2,2,98.0,980000.0
2604,HRBR Layout,3,2800.0,3,2,250.0,2500000.0
2605,HRBR Layout,2,1210.0,2,1,75.0,750000.0
2606,HRBR Layout,2,1265.0,2,1,78.0,780000.0
2607,HRBR Layout,2,1170.0,2,2,75.0,750000.0
2609,HRBR Layout,4,1900.0,3,1,90.0,900000.0
2610,HRBR Layout,3,1625.0,3,2,120.0,1200000.0
2611,HRBR Layout,2,1301.0,2,1,120.0,1200000.0
2612,HRBR Layout,2,1145.0,2,2,68.5,685000.0
2613,HRBR Layout,2,1300.0,2,3,90.0,900000.0
2615,HSR Layout,2,1372.0,2,1,68.0,680000.0
2617,HSR Layout,3,1475.0,3,2,75.0,750000.0
2618,HSR Layout,2,1467.0,2,1,55.0,550000.0
2619,HSR Layout,2,1140.0,2,2,46.0,460000.0
2620,HSR Layout,2,1372.0,2,1,61.0,610000.0
2621,HSR Layout,3,1750.0,3,2,95.0,950000.0
2623,HSR Layout,2,1027.0,2,2,44.0,440000.0
2624,HSR Layout,3,1650.0,3,2,110.0,1100000.0
2625,HSR Layout,2,1140.0,2,2,46.0,460000.0
2626,HSR Layout,2,1372.0,2,1,61.0,610000.0
2627,HSR Layout,2,1140.0,2,2,46.0,460000.0
2628,HSR Layout,2,1185.0,2,2,60.0,600000.0
2629,HSR Layout,2,1127.0,2,1,68.0,680000.0
2630,HSR Layout,3,1600.0,2,2,115.0,1150000.0
2631,HSR Layout,2,1145.0,2,2,48.0,480000.0
2632,HSR Layout,2,1009.0,2,2,56.0,560000.0
2633,HSR Layout,2,1300.0,2,2,98.0,980000.0
2635,HSR Layout,2,1140.0,2,2,46.0,460000.0
2636,HSR Layout,2,1126.0,2,1,69.0,690000.0
2638,HSR Layout,2,1140.0,2,2,46.0,460000.0
2639,HSR Layout,2,1145.0,2,2,46.0,460000.0
2640,HSR Layout,2,1142.0,2,2,65.0,650000.0
2641,HSR Layout,2,1145.0,2,2,46.0,460000.0
2642,HSR Layout,3,1844.0,3,3,95.0,950000.0
2643,HSR Layout,2,1203.0,2,2,72.0,720000.0
2644,HSR Layout,2,1140.0,2,2,46.0,460000.0
2645,HSR Layout,5,4200.0,5,2,245.0,2450000.0
2646,HSR Layout,2,1140.0,2,2,46.0,460000.0
2647,HSR Layout,2,1145.0,2,2,46.0,460000.0
2648,HSR Layout,2,1009.0,2,2,56.0,560000.0
2649,HSR Layout,2,1145.0,2,2,46.0,460000.0
2650,HSR Layout,2,1100.0,2,2,44.0,440000.0
2651,HSR Layout,2,1203.0,2,2,60.0,600000.0
2652,HSR Layout,2,1120.0,2,1,70.0,700000.0
2653,HSR Layout,2,1140.0,2,2,46.0,460000.0
2654,HSR Layout,2,1289.0,2,2,70.0,700000.0
2655,HSR Layout,3,1844.0,3,1,89.0,890000.0
2656,HSR Layout,2,1203.0,2,2,60.0,600000.0
2657,HSR Layout,2,1140.0,2,2,46.0,460000.0
2658,Haralur Road,2,1240.0,2,1,70.0,700000.0
2659,Haralur Road,2,1027.0,2,2,44.0,440000.0
2662,Haralur Road,2,1194.0,2,2,47.0,470000.0
2663,Haralur Road,2,1202.0,2,1,53.0,530000.0
2664,Haralur Road,2,1056.0,2,1,61.0,610000.0
2666,Haralur Road,3,1810.0,3,2,100.0,1000000.0
2667,Haralur Road,2,1194.0,2,2,46.0,460000.0
2669,Haralur Road,2,1225.0,2,1,67.38,673800.0
2670,Haralur Road,2,1243.0,2,1,46.0,460000.0
2671,Haralur Road,2,1027.0,2,2,44.0,440000.0
2672,Haralur Road,3,1920.0,3,1,115.0,1150000.0
2673,Haralur Road,3,1875.0,3,2,110.0,1100000.0
2674,Haralur Road,2,1194.0,2,2,47.0,470000.0
2675,Haralur Road,2,1140.0,2,2,43.0,430000.0
2676,Haralur Road,2,1027.0,2,2,44.0,440000.0
2677,Haralur Road,2,1194.0,2,2,46.0,460000.0
2678,Haralur Road,3,2017.0,3,2,125.0,1250000.0
2679,Haralur Road,2,1140.0,2,2,43.0,430000.0
2680,Haralur Road,3,1875.0,3,3,110.0,1100000.0
2681,Haralur Road,2,1092.0,2,2,44.0,440000.0
2682,Haralur Road,3,2475.0,4,2,130.0,1300000.0
2683,Haralur Road,2,1300.0,2,2,73.0,730000.0
2684,Haralur Road,2,1194.0,2,2,47.0,470000.0
2685,Haralur Road,2,1243.0,2,2,46.0,460000.0
2686,Haralur Road,3,1850.0,3,2,110.0,1100000.0
2687,Haralur Road,2,1225.0,2,1,67.38,673800.0
2688,Haralur Road,2,1243.0,2,2,46.0,460000.0
2689,Haralur Road,4,3400.0,5,3,240.0,2400000.0
2690,Haralur Road,2,1464.0,2,2,56.0,560000.0
2691,Haralur Road,2,1230.0,2,1,78.0,780000.0
2692,Haralur Road,2,1000.0,2,2,44.0,440000.0
2694,Haralur Road,2,1300.0,2,2,79.0,790000.0
2695,Haralur Road,3,1444.0,2,1,80.0,800000.0
2696,Haralur Road,2,1088.0,2,1,68.0,680000.0
2697,Haralur Road,2,1027.0,2,1,44.0,440000.0
2699,Haralur Road,2,1225.0,2,1,70.0,700000.0
2701,Haralur Road,2,1194.0,2,2,46.0,460000.0
2702,Haralur Road,3,1830.0,3,2,101.0,1010000.0
2703,Haralur Road,3,1810.0,3,2,126.0,1260000.0
2704,Haralur Road,2,1464.0,2,2,56.0,560000.0
2705,Haralur Road,3,1520.0,2,2,96.0,960000.0
2706,Haralur Road,2,1300.0,2,2,75.0,750000.0
2707,Haralur Road,3,2017.0,2,2,125.0,1250000.0
2708,Haralur Road,2,1243.0,2,2,46.0,460000.0
2709,Haralur Road,2,1027.0,2,2,44.0,440000.0
2710,Haralur Road,4,2805.0,5,3,160.0,1600000.0
2711,Haralur Road,2,1243.0,2,2,46.0,460000.0
2712,Haralur Road,2,1027.0,2,2,44.0,440000.0
2713,Haralur Road,3,2017.0,3,2,105.0,1050000.0
2714,Haralur Road,2,1243.0,2,2,46.0,460000.0
2715,Haralur Road,2,1243.0,2,2,46.0,460000.0
2716,Haralur Road,3,1520.0,2,2,90.0,900000.0
2717,Haralur Road,2,1300.0,2,2,60.0,600000.0
2718,Haralur Road,3,1985.0,3,2,130.0,1300000.0
2719,Haralur Road,3,1255.0,2,1,90.0,900000.0
2720,Haralur Road,2,1056.0,2,1,60.0,600000.0
2721,Haralur Road,2,1140.0,2,1,42.0,420000.0
2722,Haralur Road,2,1245.0,2,3,62.0,620000.0
2723,Haralur Road,2,1140.0,2,2,58.0,580000.0
2724,Haralur Road,2,1140.0,2,2,42.0,420000.0
2725,Haralur Road,2,1027.0,2,2,43.0,430000.0
2726,Haralur Road,2,1194.0,2,2,47.0,470000.0
2727,Haralur Road,2,1194.0,2,2,47.0,470000.0
2728,Haralur Road,3,1560.0,3,1,90.0,900000.0
2729,Haralur Road,3,1520.0,2,2,85.0,850000.0
2730,Haralur Road,2,1243.0,2,2,45.0,450000.0
2731,Haralur Road,2,1027.0,2,2,44.0,440000.0
2732,Haralur Road,2,1194.0,2,2,46.0,460000.0
2733,Haralur Road,3,1650.0,3,3,100.0,1000000.0
2734,Haralur Road,3,1580.0,3,1,73.0,730000.0
2735,Haralur Road,2,1243.0,2,2,46.0,460000.0
2736,Haralur Road,2,1194.0,2,2,47.0,470000.0
2738,Haralur Road,3,1520.0,2,2,96.0,960000.0
2739,Haralur Road,3,1510.0,3,2,83.05,830500.0
2740,Haralur Road,2,1056.0,2,1,65.0,650000.0
2741,Haralur Road,3,1810.0,3,2,100.0,1000000.0
2742,Haralur Road,2,1243.0,2,2,46.0,460000.0
2743,Haralur Road,1,575.0,1,1,38.0,380000.0
2744,Haralur Road,2,1194.0,2,2,46.0,460000.0
2745,Haralur Road,2,1243.0,2,2,46.0,460000.0
2746,Haralur Road,2,1194.0,2,2,46.0,460000.0
2747,Haralur Road,2,1140.0,2,2,43.0,430000.0
2748,Haralur Road,3,1850.0,3,2,120.0,1200000.0
2749,Haralur Road,2,1194.0,2,2,47.0,470000.0
2750,Haralur Road,2,1194.0,2,2,47.0,470000.0
2752,Haralur Road,2,1243.0,2,1,46.0,460000.0
2753,Haralur Road,3,1710.0,3,2,85.0,850000.0
2754,Haralur Road,3,1730.0,3,1,95.0,950000.0
2755,Haralur Road,2,1243.0,2,2,46.0,460000.0
2756,Haralur Road,2,1243.0,2,2,46.0,460000.0
2757,Haralur Road,2,1243.0,2,2,46.0,460000.0
2758,Haralur Road,3,1817.0,3,2,110.0,1100000.0
2759,Haralur Road,2,1225.0,2,1,77.0,770000.0
2760,Haralur Road,2,1285.0,2,1,78.0,780000.0
2761,Haralur Road,2,1225.0,2,1,67.48,674800.0
2762,Haralur Road,2,1225.0,2,1,69.84,698400.0
2763,Haralur Road,2,1200.0,2,2,46.0,460000.0
2764,Haralur Road,2,1315.0,2,1,85.0,850000.0
2765,Haralur Road,3,1976.0,3,2,92.0,920000.0
2766,Haralur Road,2,1300.0,2,2,75.0,750000.0
2767,Haralur Road,2,1309.0,2,1,82.0,820000.0
2768,Haralur Road,2,1027.0,1,2,44.0,440000.0
2769,Haralur Road,2,1243.0,2,2,46.0,460000.0
2770,Haralur Road,2,1243.0,2,2,46.0,460000.0
2771,Haralur Road,2,1140.0,2,2,43.0,430000.0
2772,Haralur Road,2,1300.0,2,1,75.0,750000.0
2773,Haralur Road,2,1243.0,2,2,46.0,460000.0
2774,Haralur Road,3,1890.0,3,2,84.0,840000.0
2775,Haralur Road,2,1230.0,2,1,67.65,676500.0
2776,Haralur Road,2,1194.0,2,2,46.0,460000.0
2777,Haralur Road,2,1092.0,2,2,44.0,440000.0
2779,Haralur Road,3,1255.0,3,1,90.0,900000.0
2780,Haralur Road,3,1735.0,3,2,97.0,970000.0
2781,Haralur Road,3,1810.0,3,2,97.83,978300.0
2782,Haralur Road,2,1200.0,2,2,46.0,460000.0
2783,Haralur Road,2,1243.0,2,2,46.0,460000.0
2784,Haralur Road,3,1810.0,3,2,112.0,1120000.0
2785,Harlur,2,1508.0,2,1,77.0,770000.0
2786,Harlur,3,1752.12,3,2,135.0,1350000.0
2789,Harlur,3,1709.0,3,2,150.0,1500000.0
2790,Harlur,2,1174.0,2,1,69.0,690000.0
2791,Harlur,2,1033.0,2,2,49.0,490000.0
2792,Harlur,2,1197.0,2,1,84.0,840000.0
2793,Harlur,3,1757.0,3,2,132.0,1320000.0
2794,Harlur,2,1174.0,2,1,76.0,760000.0
2795,Harlur,3,1754.0,3,2,125.0,1250000.0
2796,Harlur,2,1290.0,2,1,85.0,850000.0
2797,Harlur,3,1752.12,3,2,116.0,1160000.0
2798,Harlur,3,1754.0,3,2,135.0,1350000.0
2799,Harlur,3,1754.0,3,2,124.0,1240000.0
2800,Harlur,2,1152.0,2,2,69.0,690000.0
2801,Harlur,2,1290.0,2,1,87.0,870000.0
2802,Harlur,3,1749.0,3,2,115.0,1150000.0
2803,Harlur,4,3385.0,4,2,260.0,2600000.0
2805,Harlur,3,1758.0,3,2,133.0,1330000.0
2807,Harlur,2,1197.0,2,1,79.0,790000.0
2808,Harlur,2,1174.0,2,1,78.0,780000.0
2811,Harlur,2,1200.0,2,2,52.0,520000.0
2812,Harlur,2,1197.0,2,1,79.0,790000.0
2813,Harlur,3,1749.0,3,2,112.0,1120000.0
2814,Harlur,2,1174.0,2,1,75.0,750000.0
2815,Harlur,3,1750.0,3,2,136.0,1360000.0
2816,Harlur,3,1620.0,3,1,110.0,1100000.0
2819,Harlur,3,1762.0,3,2,133.0,1330000.0
2820,Harlur,3,1756.0,3,2,131.0,1310000.0
2821,Harlur,3,1755.0,3,2,130.0,1300000.0
