,location,bhk,total_sqft,bath,balcony,price
1719,Cooke Town,3,2560.0,4,2,310.0
1720,Cooke Town,3,2600.0,3,1,375.0
1721,Cooke Town,2,1100.0,2,3,90.0
1722,Cooke Town,3,2300.0,3,1,250.0
1723,Cox Town,3,1975.0,3,3,150.0
1724,Cox Town,3,1650.0,3,3,100.0
1725,Cox Town,3,1730.0,3,3,140.0
1726,Cox Town,3,1600.0,3,1,150.0
1727,Cox Town,2,1250.0,2,2,95.0
1728,Cox Town,2,1280.0,2,1,120.0
1729,Cox Town,2,1073.0,2,2,72.0
1730,Cox Town,2,1000.0,2,3,58.0
1731,Cox Town,2,1200.0,2,2,140.0
1732,Cunningham Road,4,5270.0,4,3,1250.0
1733,Cunningham Road,3,3875.0,3,2,864.0
1734,Cunningham Road,3,3875.0,3,2,800.0
1735,Cunningham Road,3,3815.0,3,1,763.0
1736,Cunningham Road,3,2880.0,3,2,501.0
1737,Cunningham Road,3,3489.0,3,1,662.0
1738,Cunningham Road,3,4170.0,3,2,800.0
1740,Cunningham Road,3,2700.0,3,1,501.0
1742,Cunningham Road,3,2880.0,3,2,560.0
1743,Dairy Circle,3,1855.0,3,1,225.0
1744,Dairy Circle,3,1980.0,3,2,224.0
1748,Dairy Circle,2,1541.0,2,1,181.0
1749,Dairy Circle,3,2735.0,4,2,340.0
1751,Dasanapura,2,708.0,2,2,37.0
1752,Dasanapura,2,708.0,1,1,40.0
1753,Dasanapura,2,965.0,2,1,42.5
1755,Dasanapura,2,814.0,2,1,42.0
1756,Dasanapura,2,1163.0,2,1,65.0
1757,Dasanapura,3,1286.0,2,1,68.0
1758,Dasanapura,2,708.0,2,1,31.15
1759,Dasanapura,1,708.0,1,1,41.0
1760,Dasanapura,2,814.0,2,1,43.7
1761,Dasarahalli,2,1295.0,2,1,65.0
1763,Dasarahalli,2,1150.0,2,0,70.0
1764,Dasarahalli,3,2100.0,3,3,120.0
1765,Dasarahalli,2,1220.0,2,2,52.0
1766,Dasarahalli,2,1375.0,2,1,60.0
1767,Dasarahalli,2,1333.0,2,1,78.56
1768,Dasarahalli,2,1220.0,2,2,62.0
1769,Devanahalli,4,3210.0,2,2,192.0
1770,Devanahalli,2,1260.0,2,2,66.78
1771,Devanahalli,3,1282.0,2,2,68.52
1772,Devanahalli,2,1360.0,2,1,65.0
1774,Devanahalli,2,1408.0,2,2,85.0
1775,Devanahalli,2,1010.0,2,1,51.0
1776,Devanahalli,2,1080.0,2,0,53.35
1777,Devanahalli,5,2400.0,5,3,100.0
1780,Devanahalli,2,1174.0,2,1,59.0
1781,Devanahalli,2,3752.5,2,2,177.12
1782,Devanahalli,1,658.0,1,1,34.0
1783,Devanahalli,1,658.0,1,0,26.91
1784,Devanahalli,1,698.5,1,0,28.57
1785,Devanahalli,2,1080.0,2,1,52.0
1786,Devanahalli,3,1700.0,3,0,88.2
1787,Devanahalli,3,1498.0,3,3,79.15
1788,Devanahalli,3,1466.0,3,3,77.59
1789,Devanahalli,1,775.0,1,0,39.0
1790,Devanahalli,1,1020.0,2,1,49.87
1792,Devanahalli,3,1550.0,3,1,85.0
1794,Devanahalli,2,1340.0,2,1,65.0
1795,Devanahalli,3,2125.0,3,1,107.0
1798,Devanahalli,1,658.0,1,1,26.91
1800,Devanahalli,2,1010.0,2,1,58.0
1803,Devanahalli,1,1075.0,2,2,52.57
1805,Devarachikkanahalli,2,1250.0,2,2,40.0
1806,Devarachikkanahalli,2,1200.0,2,2,83.0
1807,Devarachikkanahalli,2,1170.0,2,2,40.0
1808,Devarachikkanahalli,1,615.0,1,1,24.0
1809,Devarachikkanahalli,2,1230.0,2,1,58.0
1810,Devarachikkanahalli,3,1425.0,2,2,65.0
1811,Devarachikkanahalli,2,947.0,2,2,43.0
1812,Devarachikkanahalli,2,1130.0,2,2,36.0
1813,Devarachikkanahalli,3,1417.0,2,2,76.0
1814,Devarachikkanahalli,2,1230.0,2,1,58.0
1815,Devarachikkanahalli,3,1705.0,3,2,75.0
1816,Devarachikkanahalli,2,1116.0,2,1,47.0
1817,Devarachikkanahalli,2,991.0,2,2,40.0
1819,Dodda Nekkundi,2,1260.0,2,2,55.0
1820,Dodda Nekkundi,2,850.0,2,3,28.0
1821,Dodda Nekkundi,2,1390.0,2,2,60.0
1822,Dodda Nekkundi,3,1804.0,3,2,121.0
1823,Dodda Nekkundi,2,1080.0,2,2,50.0
1824,Dodda Nekkundi,3,1999.0,3,2,132.0
1825,Dodda Nekkundi,2,1100.0,2,2,48.0
1826,Dodda Nekkundi,3,1999.0,3,2,135.0
1827,Dodda Nekkundi,2,1100.0,2,1,41.15
1828,Dodda Nekkundi,3,1252.0,2,1,71.0
1829,Dodda Nekkundi,2,1155.0,2,1,46.0
1830,Dodda Nekkundi,2,1128.0,2,2,45.0
1831,Dodda Nekkundi,2,1148.0,2,1,56.0
1833,Dodda Nekkundi,2,1145.0,2,1,46.5
1834,Dodda Nekkundi,3,1829.0,3,2,125.0
1835,Dodda Nekkundi,2,1100.0,2,1,41.16
1836,Dodda Nekkundi,2,1100.0,2,1,46.75
1837,Dodda Nekkundi,2,1315.0,2,2,50.0
1838,Dodda Nekkundi,2,1135.0,2,2,58.0
1839,Dodda Nekkundi,2,1100.0,2,1,41.18
1840,Dodda Nekkundi,2,1370.0,2,2,60.0
1841,Dodda Nekkundi,2,1200.0,2,2,71.0
1842,Dodda Nekkundi,3,1585.0,2,2,79.0
1843,Dodda Nekkundi,2,1005.0,2,2,45.0
1844,Dodda Nekkundi,2,1264.0,2,2,52.0
1845,Doddaballapur,4,1690.0,3,2,80.0
1846,Doddaballapur,3,3000.0,2,2,120.0
1847,Doddaballapur,4,4200.0,4,3,325.0
1848,Doddaballapur,3,3876.0,3,1,300.0
1849,Doddaballapur,3,2776.0,4,2,195.0
1850,Doddaballapur,3,2440.0,3,1,142.0
1851,Doddaballapur,4,2400.0,3,0,200.0
1852,Doddaballapur,1,654.0,1,1,49.0
1853,Doddaballapur,4,3206.0,5,2,270.0
1854,Doddakallasandra,2,1010.0,2,1,40.39
1859,Doddakallasandra,2,1010.0,2,1,40.39
1860,Doddakallasandra,2,1072.0,2,1,42.87
1861,Doddakallasandra,2,1010.0,2,1,40.4
1862,Doddakallasandra,2,1010.0,2,1,41.0
1863,Doddakallasandra,2,1072.0,2,1,42.87
1864,Doddathoguru,2,970.0,2,0,33.0
1865,Doddathoguru,2,1050.0,2,1,32.0
1866,Doddathoguru,2,850.0,2,1,25.0
1867,Doddathoguru,2,1030.0,2,2,42.0
1868,Doddathoguru,3,1549.0,3,2,65.0
1870,Doddathoguru,1,550.0,1,1,17.0
1871,Doddathoguru,2,1015.0,2,2,33.5
1872,Doddathoguru,2,1104.0,2,2,39.0
1873,Doddathoguru,2,915.0,2,1,32.0
1874,Doddathoguru,1,750.0,1,1,25.5
1875,Doddathoguru,3,1595.0,3,3,62.0
1876,Doddathoguru,2,855.0,2,1,32.0
1877,Doddathoguru,2,1105.0,2,1,50.0
1878,Doddathoguru,2,925.0,2,2,30.0
1880,Doddathoguru,3,1208.0,3,1,45.0
1881,Doddathoguru,2,1100.0,2,2,50.0
1882,Doddathoguru,2,940.0,2,1,32.9
1883,Doddathoguru,3,1382.0,3,1,65.0
1884,Doddathoguru,2,1107.0,2,3,44.0
1885,Doddathoguru,2,907.0,2,1,40.0
1886,Doddathoguru,3,1783.0,3,3,85.0
1887,Doddathoguru,1,550.0,1,1,17.0
1888,Dodsworth Layout,4,30000.0,4,2,2100.0
1889,Dodsworth Layout,2,1400.0,2,2,80.0
1890,Dodsworth Layout,3,1717.0,3,3,99.0
1891,Dodsworth Layout,3,1594.0,3,2,99.0
1892,Dodsworth Layout,3,1893.0,3,2,115.0
1893,Dodsworth Layout,2,1400.0,2,3,85.0
1894,Dodsworth Layout,6,30400.0,4,2,1824.0
1895,Domlur,3,1540.0,3,2,90.0
1896,Domlur,3,1875.0,2,2,150.0
1897,Domlur,3,1429.0,3,3,86.0
1898,Domlur,1,640.0,1,0,55.0
1899,Domlur,2,1050.0,2,2,85.0
1900,Domlur,3,1800.0,3,2,150.0
1901,Domlur,3,1720.0,3,1,135.0
1902,Domlur,3,1950.0,3,3,165.0
1903,Domlur,3,2180.0,3,2,285.0
1904,Domlur,1,650.0,1,1,70.0
1905,Domlur,1,780.0,1,1,70.0
1906,Domlur,3,2180.0,3,2,285.0
1907,Domlur,3,1740.0,3,0,120.0
1908,Domlur,3,1695.0,3,2,125.0
1909,Domlur,2,1246.0,2,1,95.0
1910,Domlur,3,2100.0,3,2,145.0
1911,Domlur,2,1276.0,2,2,80.0
1912,Domlur,3,1850.0,3,1,180.0
1913,Domlur,3,2955.0,3,2,235.0
1914,Domlur,3,1650.0,3,1,180.0
1915,Dommasandra,2,805.0,2,1,22.14
1917,Dommasandra,3,1267.0,3,2,56.0
1918,Dommasandra,2,1200.0,2,2,50.0
1919,Dommasandra,4,2700.0,3,2,68.0
1921,Dommasandra,2,1153.0,2,2,43.5
1922,Dommasandra,2,1500.0,2,0,40.0
1923,Dommasandra,2,1090.0,2,2,43.5
1924,Dommasandra,2,850.0,2,1,25.4
1925,Dommasandra,2,674.0,1,1,19.9
1926,Dommasandra,2,999.0,2,2,32.9
1928,EPIP Zone,2,1285.0,2,2,82.0
1929,EPIP Zone,3,2330.0,3,2,162.0
1930,EPIP Zone,2,1330.0,2,1,92.5
1931,EPIP Zone,2,1330.0,2,1,86.98
1932,EPIP Zone,2,1330.0,2,1,93.36
1934,EPIP Zone,3,1500.0,3,3,102.0
1935,EPIP Zone,2,1280.0,2,1,69.0
1936,EPIP Zone,2,1125.0,2,1,65.0
1937,EPIP Zone,3,1734.0,3,3,125.0
1939,EPIP Zone,2,1343.0,2,2,86.0
1940,EPIP Zone,3,2350.0,4,2,163.0
1941,EPIP Zone,3,1860.0,3,2,130.0
1942,EPIP Zone,3,2210.0,3,3,165.0
1943,EPIP Zone,3,2710.0,3,2,177.0
1946,Electronic City,3,1025.0,2,1,47.0
1949,Electronic City,3,1500.0,2,1,64.5
1950,Electronic City,2,1060.0,2,1,60.0
1951,Electronic City,2,1152.0,2,1,64.5
1953,Electronic City,2,770.0,1,1,36.0
1954,Electronic City,2,1070.0,2,1,52.0
1955,Electronic City,2,1025.0,2,1,46.0
1956,Electronic City,1,589.0,1,1,27.0
1958,Electronic City,2,910.0,2,1,40.0
1959,Electronic City,2,1108.0,2,1,63.0
1960,Electronic City,2,1128.0,2,1,65.0
1961,Electronic City,3,1800.0,3,2,95.0
1962,Electronic City,1,630.0,1,1,34.65
1963,Electronic City,2,1128.0,2,1,63.0
1964,Electronic City,3,1599.0,3,2,99.0
1967,Electronic City,2,1070.0,2,1,55.0
1968,Electronic City,2,940.0,2,1,41.0
1970,Electronic City,2,1128.0,2,1,68.75
1971,Electronic City,2,1342.0,2,1,73.3
1972,Electronic City,3,1360.0,2,1,71.0
1974,Electronic City,2,1265.0,2,0,56.93
1975,Electronic City,3,1691.0,2,2,102.0
1976,Electronic City,2,1128.0,2,1,65.49
1979,Electronic City,2,1070.0,2,1,56.1
1980,Electronic City,4,2000.0,4,0,120.0
1981,Electronic City,2,890.0,2,2,45.0
1982,Electronic City,2,1128.0,2,1,65.65
1983,Electronic City,2,865.0,2,0,42.0
1985,Electronic City,2,910.0,2,2,42.0
1987,Electronic City,3,1360.0,2,1,75.0
1988,Electronic City,2,770.0,1,1,40.0
1989,Electronic City,2,1128.0,2,1,64.0
1990,Electronic City,2,1070.0,2,1,54.0
1992,Electronic City,3,1571.0,3,2,89.0
1993,Electronic City,3,1111.0,3,1,50.0
1994,Electronic City,2,870.0,2,1,39.5
1996,Electronic City,3,1374.0,2,1,72.0
1998,Electronic City,2,1128.0,2,1,65.35
1999,Electronic City,2,1128.0,2,1,65.0
2000,Electronic City,2,755.0,1,1,34.0
2004,Electronic City,3,1563.0,3,2,91.84
2005,Electronic City,3,1652.0,3,2,70.0
2007,Electronic City,2,1025.0,2,1,54.5
2009,Electronic City,3,1350.0,3,2,58.0
2012,Electronic City,3,1700.0,3,2,75.0
2014,Electronic City,2,1128.0,2,1,68.0
2015,Electronic City,1,700.0,1,1,35.0
2016,Electronic City,3,1360.0,2,1,70.5
2018,Electronic City,3,1571.0,3,2,105.0
2022,Electronic City,3,1600.0,3,2,104.0
2024,Electronic City,3,1500.0,2,1,100.0
2028,Electronic City,2,1152.0,2,1,65.0
2029,Electronic City,2,1070.0,2,1,60.0
2030,Electronic City,2,1128.0,2,1,65.5
2031,Electronic City,2,1200.0,2,1,59.0
2032,Electronic City,2,1152.0,2,1,65.75
2034,Electronic City,2,1070.0,2,1,55.0
2035,Electronic City,2,1060.0,2,1,58.0
2036,Electronic City,2,1025.0,2,1,54.1
2041,Electronic City,3,1500.0,2,1,78.0
2042,Electronic City,2,1213.0,2,1,59.32
2043,Electronic City,3,1575.0,3,2,90.0
2044,Electronic City,1,435.0,1,1,19.5
2045,Electronic City,3,1449.0,3,2,100.0
2047,Electronic City,2,1125.0,2,1,58.0
2049,Electronic City,3,1575.0,3,3,101.0
2051,Electronic City,1,550.0,1,1,12.0
2052,Electronic City,2,919.0,2,2,40.0
2053,Electronic City,3,1500.0,2,1,78.25
2054,Electronic City,2,1363.0,2,1,79.0
2057,Electronic City,2,1108.0,2,1,67.15
2059,Electronic City,2,1128.0,2,1,65.7
2061,Electronic City,2,1060.0,2,1,51.0
2063,Electronic City,3,1650.0,3,2,100.0
2065,Electronic City,2,1025.0,2,1,49.0
2067,Electronic City,3,1449.0,3,2,90.0
2069,Electronic City,2,1070.0,2,1,58.0
2070,Electronic City,2,1210.0,2,1,54.0
2071,Electronic City,3,1500.0,2,1,75.0
2073,Electronic City,2,1070.0,2,1,52.0
2074,Electronic City,4,2435.0,4,3,119.0
2079,Electronic City,2,1073.0,2,2,60.0
2080,Electronic City,3,1500.0,2,1,78.0
2081,Electronic City,2,1070.0,2,1,47.0
2082,Electronic City,2,1296.0,2,2,65.0
2083,Electronic City,2,1140.0,2,1,70.93
2089,Electronic City,4,2093.0,4,1,104.0
2090,Electronic City,2,1025.0,2,1,53.9
2091,Electronic City,2,940.0,2,1,54.0
2092,Electronic City,1,435.0,1,1,21.0
2093,Electronic City,3,1500.0,2,1,77.5
2094,Electronic City,3,1631.0,3,2,80.0
2095,Electronic City,2,1355.0,2,1,67.0
2098,Electronic City,1,435.0,1,1,22.0
2100,Electronic City,2,1039.0,2,1,50.0
2101,Electronic City,2,770.0,1,1,39.9
2103,Electronic City,2,1128.0,2,1,64.0
2104,Electronic City,1,605.0,1,0,13.31
2106,Electronic City,1,530.0,1,1,13.5
2107,Electronic City,2,1070.0,2,1,53.0
2110,Electronic City,3,1571.0,3,2,83.0
2112,Electronic City,3,1350.0,3,2,66.0
2113,Electronic City,3,1652.0,3,3,110.0
2117,Electronic City,2,1128.0,2,1,65.58
2118,Electronic City,1,635.0,1,1,28.0
2119,Electronic City,2,1128.0,2,1,65.4
2122,Electronic City,2,1355.0,2,1,72.9
2126,Electronic City,2,770.0,1,1,35.0
2128,Electronic City,2,865.0,2,1,40.0
2131,Electronic City,2,1108.0,2,1,63.0
2132,Electronic City,1,630.0,1,1,40.5
2135,Electronic City,1,605.0,1,1,22.0
2137,Electronic City,2,1070.0,2,1,48.0
2139,Electronic City,3,1360.0,2,1,70.0
2140,Electronic City,1,635.0,1,0,28.0
2141,Electronic City,2,1128.0,2,1,65.45
2142,Electronic City,2,890.0,2,1,40.0
2147,Electronic City,3,1360.0,2,1,58.0
2150,Electronic City,1,630.0,1,1,33.7
2154,Electronic City,3,1400.0,3,1,90.0
2155,Electronic City,3,1287.0,3,1,55.0
2156,Electronic City,2,1258.0,2,1,85.5
2157,Electronic City,2,1386.0,2,1,85.0
2158,Electronic City,1,550.0,1,1,27.0
2159,Electronic City,2,1025.0,2,1,50.0
2161,Electronic City,2,1070.0,2,1,55.0
2162,Electronic City,2,1342.0,2,1,72.0
2163,Electronic City,3,1275.0,3,1,70.0
2164,Electronic City,2,770.0,1,1,38.0
2169,Electronic City,3,1644.0,3,2,92.59
2170,Electronic City,2,1250.0,2,1,62.0
2173,Electronic City,1,418.0,1,1,12.0
2174,Electronic City,2,1128.0,2,1,64.8
2177,Electronic City,2,1060.0,2,1,55.0
2178,Electronic City,1,710.0,1,1,40.42
2181,Electronic City,3,1275.0,3,3,63.43
2182,Electronic City,3,1518.0,3,3,75.0
2183,Electronic City,1,1090.0,2,1,31.48
2186,Electronic City,2,1060.0,2,1,55.0
2188,Electronic City,2,1353.0,2,3,75.0
2190,Electronic City,2,1128.0,2,1,67.0
2191,Electronic City,2,1070.0,2,1,57.0
2192,Electronic City,3,1700.0,3,2,90.0
2194,Electronic City,1,750.0,1,1,35.0
2195,Electronic City,2,1210.0,2,1,55.0
2196,Electronic City,2,1070.0,2,1,60.0
2201,Electronic City,3,1615.0,3,2,97.0
2203,Electronic City,2,1221.0,2,2,68.0
2205,Electronic City,3,1500.0,3,1,73.0
2206,Electronic City,2,995.0,2,1,48.0
2207,Electronic City,2,1342.0,2,1,90.0
2209,Electronic City,2,1128.0,2,1,63.5
2210,Electronic City,1,589.0,1,1,29.0
2213,Electronic City,3,1575.0,3,1,94.5
2214,Electronic City,2,1070.0,2,1,48.0
2215,Electronic City,2,1025.0,2,1,54.0
2216,Electronic City,3,1500.0,2,1,70.0
2217,Electronic City,3,1500.0,2,1,64.5
2219,Electronic City,4,2093.0,4,2,134.0
2221,Electronic City,2,1355.0,2,1,73.0
2222,Electronic City,3,1360.0,2,1,64.99
2223,Electronic City,2,1060.0,2,1,52.0
2224,Electronic City Phase II,2,1056.0,2,1,39.07
2225,Electronic City Phase II,2,1020.0,2,1,30.6
2226,Electronic City Phase II,2,1069.0,2,2,45.0
2227,Electronic City Phase II,1,630.0,1,1,28.35
2229,Electronic City Phase II,2,1000.0,2,1,25.0
2230,Electronic City Phase II,2,1090.0,2,1,28.34
2231,Electronic City Phase II,4,2225.0,4,0,98.88
2233,Electronic City Phase II,2,775.0,2,2,38.0
2234,Electronic City Phase II,2,1266.0,2,2,59.0
2235,Electronic City Phase II,2,1000.0,2,1,28.88
2238,Electronic City Phase II,2,972.0,2,1,44.0
2240,Electronic City Phase II,2,1031.0,2,1,55.0
2241,Electronic City Phase II,2,1003.0,2,1,40.6
2242,Electronic City Phase II,2,1031.0,2,1,56.35
2244,Electronic City Phase II,3,1395.0,2,1,62.78
2245,Electronic City Phase II,2,1160.0,2,1,33.5
2246,Electronic City Phase II,2,1065.0,2,1,30.75
2247,Electronic City Phase II,2,1219.0,2,1,61.25
2249,Electronic City Phase II,2,1000.0,2,1,28.88
2250,Electronic City Phase II,3,1790.0,3,3,100.0
2251,Electronic City Phase II,2,769.0,2,1,40.0
2253,Electronic City Phase II,2,900.0,2,2,32.5
2256,Electronic City Phase II,3,993.0,2,2,50.0
2257,Electronic City Phase II,3,1418.0,3,2,52.47
2258,Electronic City Phase II,2,1070.0,2,2,45.0
2261,Electronic City Phase II,2,1140.0,2,1,33.06
2262,Electronic City Phase II,2,1089.0,2,0,32.67
2263,Electronic City Phase II,2,1031.0,2,1,55.0
2264,Electronic City Phase II,2,1253.0,2,1,65.8
2266,Electronic City Phase II,2,1160.0,2,1,33.5
2267,Electronic City Phase II,3,975.0,2,2,45.0
2268,Electronic City Phase II,4,6000.0,4,2,260.0
2269,Electronic City Phase II,2,1116.0,2,2,37.0
2270,Electronic City Phase II,2,1125.0,2,1,29.25
2271,Electronic City Phase II,2,1000.0,2,1,28.88
2272,Electronic City Phase II,2,1000.0,2,1,28.88
2273,Electronic City Phase II,2,1000.0,2,1,28.88
2274,Electronic City Phase II,2,1165.0,2,1,30.29
2275,Electronic City Phase II,4,3550.0,2,2,167.5
2276,Electronic City Phase II,2,1031.0,2,1,53.0
2278,Electronic City Phase II,2,1065.0,2,1,30.88
2280,Electronic City Phase II,3,1549.0,3,2,80.0
2281,Electronic City Phase II,2,1065.0,2,1,56.13
2283,Electronic City Phase II,2,920.0,2,2,26.0
2284,Electronic City Phase II,2,1140.0,2,1,33.84
2285,Electronic City Phase II,2,1219.0,2,1,61.26
2286,Electronic City Phase II,3,1252.0,2,3,65.0
2287,Electronic City Phase II,2,1125.0,2,1,32.49
2289,Electronic City Phase II,2,1286.0,2,2,69.0
2291,Electronic City Phase II,2,1140.0,2,1,32.92
2292,Electronic City Phase II,2,1116.0,2,2,40.0
2293,Electronic City Phase II,3,1150.0,3,3,46.0
2294,Electronic City Phase II,3,1192.0,2,3,47.0
2296,Electronic City Phase II,2,1020.0,2,2,32.0
2297,Electronic City Phase II,4,1900.0,3,1,97.0
2298,Electronic City Phase II,2,1020.0,2,1,27.43
2299,Electronic City Phase II,2,1025.0,2,1,26.65
2300,Electronic City Phase II,2,1020.0,2,1,29.45
2301,Electronic City Phase II,2,1000.0,2,1,28.88
2303,Electronic City Phase II,2,1140.0,2,2,28.5
2304,Electronic City Phase II,2,1125.0,2,1,32.49
2305,Electronic City Phase II,2,1200.0,2,1,34.65
2306,Electronic City Phase II,2,1160.0,2,1,52.2
2307,Electronic City Phase II,2,1244.0,2,1,55.0
2308,Electronic City Phase II,2,1160.0,2,1,33.51
2311,Electronic City Phase II,2,972.0,2,1,40.0
2312,Electronic City Phase II,2,1160.0,2,1,33.51
2314,Electronic City Phase II,2,1090.0,2,1,31.48
2315,Electronic City Phase II,2,1140.0,2,1,32.92
2316,Electronic City Phase II,1,650.0,1,1,35.0
2317,Electronic City Phase II,2,1155.0,2,1,57.0
2318,Electronic City Phase II,3,1800.0,3,3,92.0
2319,Electronic City Phase II,2,1300.0,2,2,28.0
2320,Electronic City Phase II,2,1160.0,2,1,33.5
2321,Electronic City Phase II,2,1025.0,2,1,29.6
2322,Electronic City Phase II,2,829.0,2,1,22.8
2323,Electronic City Phase II,4,2187.5,4,0,105.0
2324,Electronic City Phase II,2,1252.0,2,1,67.0
2326,Electronic City Phase II,2,1125.0,2,1,32.63
2327,Electronic City Phase II,2,1140.0,2,1,34.0
2330,Electronic City Phase II,3,1252.0,2,1,65.0
2331,Electronic City Phase II,2,1135.0,2,2,46.0
2332,Electronic City Phase II,3,1305.0,3,1,65.0
2333,Electronic City Phase II,2,1165.0,2,1,33.64
2335,Electronic City Phase II,3,1336.0,2,3,50.35
2336,Electronic City Phase II,1,575.0,1,1,16.75
2337,Electronic City Phase II,3,925.0,2,1,49.82
2338,Electronic City Phase II,2,1065.0,2,1,30.76
2339,Electronic City Phase II,2,1065.0,2,1,30.75
2340,Electronic City Phase II,2,1140.0,2,1,33.06
2341,Electronic City Phase II,2,911.0,2,1,26.5
2342,Electronic City Phase II,2,1200.0,2,1,34.65
2343,Electronic City Phase II,2,1031.0,2,1,54.48
2347,Electronics City Phase 1,3,1475.0,3,2,78.29
2348,Electronics City Phase 1,3,1490.0,3,1,78.8
2349,Electronics City Phase 1,2,1113.27,2,2,53.0
2350,Electronics City Phase 1,3,1490.0,3,1,84.0
2357,Electronics City Phase 1,2,1015.0,2,1,56.0
2359,Electronics City Phase 1,3,1515.0,2,1,80.91
2360,Electronics City Phase 1,2,995.0,2,0,46.0
2361,Electronics City Phase 1,3,1555.0,2,1,82.0
2362,Electronics City Phase 1,2,1340.0,2,2,75.0
2363,Electronics City Phase 1,3,1124.0,2,2,55.0
2364,Electronics City Phase 1,2,1175.0,2,1,57.0
2365,Electronics City Phase 1,1,755.0,1,1,42.41
2366,Electronics City Phase 1,1,580.0,1,1,27.0
2367,Electronics City Phase 1,2,940.0,2,2,49.0
2368,Electronics City Phase 1,2,1335.0,2,2,67.0
2369,Electronics City Phase 1,2,1113.12,2,2,55.0
2371,Electronics City Phase 1,3,1350.0,3,0,71.0
2373,Electronics City Phase 1,2,995.0,2,1,49.8
2374,Electronics City Phase 1,1,635.0,1,0,26.0
2375,Electronics City Phase 1,2,1190.0,2,1,68.0
2377,Electronics City Phase 1,3,1450.0,3,2,72.54
2378,Electronics City Phase 1,1,360.0,1,0,16.9
2379,Electronics City Phase 1,1,638.0,1,1,32.0
2380,Electronics City Phase 1,2,1175.0,2,2,64.98
2381,Electronics City Phase 1,1,585.0,1,1,21.0
2382,Electronics City Phase 1,2,1200.0,2,2,59.76
2383,Electronics City Phase 1,2,1145.0,2,1,54.0
2384,Electronics City Phase 1,2,1125.0,2,2,65.0
2386,Electronics City Phase 1,3,1550.0,2,2,82.0
2388,Electronics City Phase 1,2,865.0,2,0,40.0
2392,Electronics City Phase 1,3,1800.0,3,2,93.0
2393,Electronics City Phase 1,2,1314.0,2,2,60.0
2394,Electronics City Phase 1,2,1170.0,2,1,62.0
2395,Electronics City Phase 1,3,1450.0,3,2,79.0
2396,Electronics City Phase 1,2,940.0,2,1,48.0
2397,Electronics City Phase 1,2,940.0,2,1,44.0
2398,Electronics City Phase 1,2,1300.0,2,1,67.0
2399,Electronics City Phase 1,2,1028.0,2,1,51.0
2401,Electronics City Phase 1,2,1205.0,2,2,60.0
2403,Electronics City Phase 1,2,1305.0,2,1,67.0
2404,Electronics City Phase 1,1,755.0,1,0,30.12
2405,Electronics City Phase 1,2,1175.0,2,1,60.0
2406,Frazer Town,3,1700.0,3,1,180.0
2407,Frazer Town,3,1305.0,3,2,95.45
2408,Frazer Town,3,1870.0,3,3,185.0
2409,Frazer Town,3,1750.0,3,2,150.0
2411,Frazer Town,3,2000.0,3,1,200.0
2412,Frazer Town,3,3500.0,4,2,330.0
2413,Frazer Town,3,2350.0,4,3,285.0
2414,Frazer Town,2,1550.0,2,2,140.0
2415,Frazer Town,3,1900.0,4,2,145.0
2416,Frazer Town,3,2560.0,3,2,265.0
2417,Frazer Town,3,2400.0,3,2,260.0
2418,Frazer Town,3,2560.0,3,2,288.0
2419,Frazer Town,4,3436.0,5,2,341.0
2421,Frazer Town,2,1315.0,2,2,140.0
2422,Frazer Town,3,1706.0,3,3,154.0
2423,Frazer Town,3,2079.0,3,3,220.0
2424,Frazer Town,4,3435.0,2,1,341.0
2425,Frazer Town,4,3436.0,5,2,345.0
2426,Frazer Town,3,3100.0,3,2,400.0
2427,Frazer Town,3,5400.0,3,2,400.0
2428,Frazer Town,2,1180.0,2,1,105.0
2429,Frazer Town,4,2900.0,4,2,325.0
2430,Frazer Town,3,1870.0,3,3,180.0
2431,Frazer Town,1,896.0,1,0,100.0
2432,Frazer Town,2,1420.0,2,0,120.0
2433,GM Palaya,3,1820.0,2,3,86.0
2434,GM Palaya,2,1225.0,2,2,47.0
2435,GM Palaya,2,1140.0,2,2,48.95
2436,GM Palaya,3,1315.0,2,2,65.0
2437,GM Palaya,3,1315.0,3,1,65.0
2438,GM Palaya,3,1315.0,3,0,64.0
2439,GM Palaya,3,1735.0,3,2,70.0
2440,GM Palaya,3,1643.0,2,2,70.0
2441,Ganga Nagar,1,600.0,1,0,38.0
2442,Ganga Nagar,2,845.0,2,1,55.0
2443,Ganga Nagar,2,1112.0,2,3,68.0
2444,Ganga Nagar,2,998.0,2,2,65.0
2445,Ganga Nagar,2,1250.0,2,2,65.0
2446,Garudachar Palya,3,1325.0,2,2,60.8
2447,Garudachar Palya,2,1060.0,2,1,48.7
2448,Garudachar Palya,2,1150.0,2,1,52.75
2449,Garudachar Palya,3,1295.0,2,1,59.5
2450,Garudachar Palya,3,1320.0,2,2,60.6
2451,Garudachar Palya,3,1295.0,2,2,59.5
2452,Garudachar Palya,2,1150.0,2,2,52.8
2453,Garudachar Palya,2,1150.0,2,1,52.8
2454,Garudachar Palya,2,1060.0,2,1,48.5
2455,Garudachar Palya,2,1150.0,2,1,52.5
2456,Garudachar Palya,3,1325.0,2,2,60.8
2457,Garudachar Palya,2,1060.0,2,1,48.66
2458,Garudachar Palya,2,1150.0,2,2,52.0
2459,Garudachar Palya,2,1154.0,2,1,51.8
